nom,email,montant dépensé
XozovzwqBr,xozovzwqbr@mail.com,3870.48
huTudsDxio,hutudsdxio@example.com,772.97
PwPmdqerzv,pwpmdqerzv@mail.com,1607.66
hECSMbTbwT,hecsmbtbwt@mail.com,1764.75
rYonJXCYdR,ryonjxcydr@test.org,3357.53
THBaJJRdDM,thbajjrddm@mail.com,550.43
fPBCnIqGIs,fpbcniqgis@example.com,390.06
NHiOvnAXNi,nhiovnaxni@test.org,3177.7
VWydQUeJeh,vwydquejeh@test.org,2143.03
kJMRkZCwol,kjmrkzcwol@example.com,2074.87
tajdZfxgJT,tajdzfxgjt@fake.co,4974.84
AhRSPbNltb,ahrspbnltb@test.org,2910.05
QEOgAdeCcW,qeogadeccw@example.com,4498.6
woMLwvGSxl,womlwvgsxl@test.org,3622.1
bZnNYHKdmI,bznnyhkdmi@fake.co,3607.41
CaZfbLPSef,cazfblpsef@fake.co,4630.23
ibhJTwTCof,ibhjtwtcof@fake.co,4334.45
PjnubMdTkN,pjnubmdtkn@example.com,4220.8
vKlWlmOfTp,vklwlmoftp@fake.co,1004.79
rtHgOzoipv,rthgozoipv@example.com,3896.14
jjFgNWJaAI,jjfgnwjaai@example.com,4965.75
LHmukHxMbI,lhmukhxmbi@test.org,993.62
LfeNsPeBMq,lfenspebmq@test.org,4455.68
LicPzrZbwo,licpzrzbwo@example.com,1770.71
oAmrrzbjzZ,oamrrzbjzz@test.org,864.41
SwydzGAIeS,swydzgaies@mail.com,2828.25
xsRndBwpFc,xsrndbwpfc@test.org,4381.61
jvbJwQsfxg,jvbjwqsfxg@example.com,1459.95
qRQjebJZwu,qrqjebjzwu@fake.co,1312.73
ZYXacDroMh,zyxacdromh@example.com,506.34
BlwbvzpQWm,blwbvzpqwm@fake.co,4602.68
HuiVmcYcmZ,huivmcycmz@example.com,3692.87
LIwNzFVwss,liwnzfvwss@example.com,4939.08
MNAOkUDYwV,mnaokudywv@mail.com,147.82
UFmMtwXxoC,ufmmtwxxoc@example.com,2886.26
TvIFUxMFvR,tvifuxmfvr@example.com,686.48
TzlSDTeLzE,tzlsdtelze@mail.com,983.79
OMNGzADXNd,omngzadxnd@example.com,4514.39
ydxnWwJaym,ydxnwwjaym@test.org,2638.27
GPlZiTkdNN,gplzitkdnn@fake.co,2606.56
iRlNyCRMBJ,irlnycrmbj@mail.com,3756.92
gVcLaiCJwR,gvclaicjwr@mail.com,3946.98
aaEfHFoMtO,aaefhfomto@test.org,3266.88
aODKDStKKT,aodkdstkkt@mail.com,4188.11
nLsNIboJSs,nlsnibojss@test.org,956.81
xfAGFOcMaw,xfagfocmaw@example.com,2309.41
ssfFFNOsiO,ssfffnosio@test.org,4636.82
guHVGfiSzA,guhvgfisza@mail.com,1213.47
bKnZKcCvZd,bknzkccvzd@fake.co,3414.71
qzDjZCEPRJ,qzdjzceprj@fake.co,4269.0
